2025-08-31, 19.5 °C , 17.4 °C , 17.0 °C , 14.5 °C 
2025-08-30, 21.9 °C , 18.1 °C , 18.6 °C , 15.4 °C 
2025-08-29, 23.7 °C , 18.2 °C , 18.5 °C , 13.4 °C 
2025-08-28, 21.4 °C , 17.7 °C , 17.8 °C , 14.1 °C 
2025-08-27, 23.0 °C , 18.5 °C , 18.6 °C , 14.3 °C 
2025-08-26, 26.3 °C , 21.2 °C , 21.3 °C , 16.3 °C 
2025-08-25, 23.9 °C , 20.2 °C , 21.0 °C , 18.0 °C 
2025-08-24, 26.4 °C , 20.4 °C , 20.8 °C , 15.1 °C 
2025-08-23, 26.8 °C , 19.3 °C , 21.2 °C , 15.5 °C 
2025-08-22, 20.2 °C , 18.1 °C , 17.5 °C , 14.8 °C 
2025-08-21, 21.3 °C , 17.4 °C , 16.8 °C , 12.2 °C 
2025-08-20, 20.3 °C , 16.8 °C , 16.1 °C , 11.9 °C 
2025-08-19, 18.7 °C , 17.0 °C , 16.1 °C , 13.6 °C 
2025-08-18, 18.8 °C , 17.3 °C , 17.1 °C , 15.5 °C 
2025-08-17, 29.7 °C , 21.7 °C , 22.7 °C , 15.6 °C 
2025-08-16, 22.2 °C , 19.4 °C , 19.4 °C , 16.5 °C 
2025-08-15, 22.6 °C , 20.3 °C , 20.1 °C , 17.6 °C 
2025-08-14, 28.2 °C , 23.7 °C , 24.0 °C , 19.8 °C 
2025-08-13, 29.0 °C , 22.5 °C , 23.7 °C , 18.3 °C 
2025-08-12, 32.1 °C , 24.6 °C , 25.2 °C , 18.3 °C 
2025-08-11, 27.5 °C , 23.4 °C , 23.2 °C , 18.9 °C 
2025-08-10, 29.6 °C , 22.0 °C , 22.5 °C , 15.4 °C 
2025-08-09, 29.0 °C , 21.4 °C , 22.9 °C , 16.8 °C 
2025-08-08, 22.9 °C , 19.5 °C , 19.0 °C , 15.1 °C 
2025-08-07, 23.0 °C , 18.8 °C , 17.8 °C , 12.6 °C 
2025-08-06, 22.2 °C , 19.5 °C , 18.5 °C , 14.8 °C 
2025-08-05, 22.7 °C , 19.9 °C , 20.0 °C , 17.4 °C 
2025-08-04, 25.2 °C , 20.4 °C , 21.1 °C , 17.0 °C 
2025-08-03, 28.8 °C , 21.0 °C , 21.8 °C , 14.8 °C 
2025-08-02, 22.5 °C , 19.2 °C , 18.9 °C , 15.3 °C 
2025-08-01, 21.3 °C , 18.5 °C , 18.7 °C , 16.1 °C 
