8/31/2025, 19.5 °C , 17.4 °C , 17.0 °C , 14.5 °C 
8/30/2025, 21.9 °C , 18.1 °C , 18.6 °C , 15.4 °C
8/29/2025, 23.7 °C , 18.2 °C , 18.5 °C , 13.4 °C
8/28/2025, 21.4 °C , 17.7 °C , 17.8 °C , 14.1 °C
8/27/2025, 23.0 °C , 18.5 °C , 18.6 °C , 14.3 °C
8/26/2025, 26.3 °C , 21.2 °C , 21.3 °C , 16.3 °C
8/25/2025, 23.9 °C , 20.2 °C , 21.0 °C , 18.0 °C
8/24/2025, 26.4 °C , 20.4 °C , 20.8 °C , 15.1 °C
8/23/2025, 26.8 °C , 19.3 °C , 21.2 °C , 15.5 °C
8/22/2025, 20.2 °C , 18.1 °C , 17.5 °C , 14.8 °C
8/21/2025, 21.3 °C , 17.4 °C , 16.8 °C , 12.2 °C
8/20/2025, 20.3 °C , 16.8 °C , 16.1 °C , 11.9 °C
8/19/2025, 18.7 °C , 17.0 °C , 16.1 °C , 13.6 °C
8/18/2025, 18.8 °C , 17.3 °C , 17.1 °C , 15.5 °C
8/17/2025, 29.7 °C , 21.7 °C , 22.7 °C , 15.6 °C
8/16/2025, 22.2 °C , 19.4 °C , 19.4 °C , 16.5 °C
8/15/2025, 22.6 °C , 20.3 °C , 20.1 °C , 17.6 °C
8/14/2025, 28.2 °C , 23.7 °C , 24.0 °C , 19.8 °C
8/13/2025, 29.0 °C , 22.5 °C , 23.7 °C , 18.3 °C
8/12/2025, 32.1 °C , 24.6 °C , 25.2 °C , 18.3 °C
8/11/2025, 27.5 °C , 23.4 °C , 23.2 °C , 18.9 °C
8/10/2025, 29.6 °C , 22.0 °C , 22.5 °C , 15.4 °C
8/9/2025, 29.0 °C , 21.4 °C , 22.9 °C , 16.8 °C
8/8/2025, 22.9 °C , 19.5 °C , 19.0 °C , 15.1 °C
8/7/2025, 23.0 °C , 18.8 °C , 17.8 °C , 12.6 °C
8/6/2025, 22.2 °C , 19.5 °C , 18.5 °C , 14.8 °C
8/5/2025, 22.7 °C , 19.9 °C , 20.0 °C , 17.4 °C
8/4/2025, 25.2 °C , 20.4 °C , 21.1 °C , 17.0 °C
8/3/2025, 28.8 °C , 21.0 °C , 21.8 °C , 14.8 °C
8/2/2025, 22.5 °C , 19.2 °C , 18.9 °C , 15.3 °C
8/1/2025, 21.3 °C , 18.5 °C , 18.7 °C , 16.1 °C
