Date,Max Temp,Hourly Mean,Mean of Min/Max,Min Temp
Aug 31 2025, 19.5 °C , 17.4 °C , 17.0 °C , 14.5 °C 
Aug 30 2025, 21.9 °C , 18.1 °C , 18.6 °C , 15.4 °C 
Aug 29 2025, 23.7 °C , 18.2 °C , 18.5 °C , 13.4 °C 
Aug 28 2025, 21.4 °C , 17.7 °C , 17.8 °C , 14.1 °C 
Aug 27 2025, 23.0 °C , 18.5 °C , 18.6 °C , 14.3 °C 
Aug 26 2025, 26.3 °C , 21.2 °C , 21.3 °C , 16.3 °C 
Aug 25 2025, 23.9 °C , 20.2 °C , 21.0 °C , 18.0 °C 
Aug 24 2025, 26.4 °C , 20.4 °C , 20.8 °C , 15.1 °C 
Aug 23 2025, 26.8 °C , 19.3 °C , 21.2 °C , 15.5 °C 
Aug 22 2025, 20.2 °C , 18.1 °C , 17.5 °C , 14.8 °C 
Aug 21 2025, 21.3 °C , 17.4 °C , 16.8 °C , 12.2 °C 
Aug 20 2025, 20.3 °C , 16.8 °C , 16.1 °C , 11.9 °C 
Aug 19 2025, 18.7 °C , 17.0 °C , 16.1 °C , 13.6 °C 
Aug 18 2025, 18.8 °C , 17.3 °C , 17.1 °C , 15.5 °C 
Aug 17 2025, 29.7 °C , 21.7 °C , 22.7 °C , 15.6 °C 
Aug 16 2025, 22.2 °C , 19.4 °C , 19.4 °C , 16.5 °C 
Aug 15 2025, 22.6 °C , 20.3 °C , 20.1 °C , 17.6 °C 
Aug 14 2025, 28.2 °C , 23.7 °C , 24.0 °C , 19.8 °C 
Aug 13 2025, 29.0 °C , 22.5 °C , 23.7 °C , 18.3 °C 
Aug 12 2025, 32.1 °C , 24.6 °C , 25.2 °C , 18.3 °C 
Aug 11 2025, 27.5 °C , 23.4 °C , 23.2 °C , 18.9 °C 
Aug 10 2025, 29.6 °C , 22.0 °C , 22.5 °C , 15.4 °C 
Aug 9 2025, 29.0 °C , 21.4 °C , 22.9 °C , 16.8 °C 
Aug 8 2025, 22.9 °C , 19.5 °C , 19.0 °C , 15.1 °C 
Aug 7 2025, 23.0 °C , 18.8 °C , 17.8 °C , 12.6 °C 
Aug 6 2025, 22.2 °C , 19.5 °C , 18.5 °C , 14.8 °C 
Aug 5 2025, 22.7 °C , 19.9 °C , 20.0 °C , 17.4 °C 
Aug 4 2025, 25.2 °C , 20.4 °C , 21.1 °C , 17.0 °C 
Aug 3 2025, 28.8 °C , 21.0 °C , 21.8 °C , 14.8 °C 
Aug 2 2025, 22.5 °C , 19.2 °C , 18.9 °C , 15.3 °C 
Aug 1 2025, 21.3 °C , 18.5 °C , 18.7 °C , 16.1 °C 
